lon,lat,size
115.5640985600423,-8.40545978587568,5.0
115.45468375843656,-8.529852963436158,5.0
114.58367725895425,-8.327249320160691,5.0
115.16605505764893,-8.795207385426348,5.0
115.4971740713754,-8.679604093080743,5.0
115.22085228998021,-8.722138195182469,26.11111111111111
115.36718784976328,-8.354180377015561,5.0
115.09490848714668,-8.529852963436158,5.0
115.21824717565627,-8.12196178367157,5.0
115.19255535853048,-8.798048181414222,5.0
115.16812118280241,-8.71130533363568,5.0
115.19300451617252,-8.074647985876453,5.0
115.14665144751196,-8.081852136949824,5.0
115.46366691127773,-8.2114158431685,5.0
115.45926516638556,-8.670723713255635,5.0
115.15123285546096,-8.085854387531171,5.0
115.04864525001453,-8.16882540613557,5.0
114.58188062838602,-8.130854733158978,5.0
114.57505343222671,-8.130587947542537,5.0
115.26442058126003,-8.403238114641848,5.0
114.89422485267438,-8.208037227629,5.0
115.08233207316898,-8.142148494729984,5.0
115.11664771702237,-8.12418503951923,5.0
115.16578556306371,-8.49476039273901,5.0
115.10227467247645,-8.839858621964535,5.0
115.16668387834783,-8.813672169495486,5.0
115.27816480510705,-8.493338853777217,5.0
115.16785168821718,-8.75703207813032,5.0
115.36772683893378,-8.353735985204164,5.0
115.17360090603555,-8.746200230114964,5.0
114.58304843825537,-8.13218865857891,5.0
114.56409398576045,-8.130587947542537,5.0
114.49492370888325,-8.271781510825248,5.0
115.15832954620551,-8.292849533822297,5.0
115.15114302393255,-8.086654832881974,5.0
115.48801125547737,-8.237199066642862,5.0
115.40150349361667,-8.546554118861845,5.0
115.48217220613061,-8.195233792256264,5.0
115.11314428741431,-8.124629689211071,5.0
115.1528498229724,-8.084698185886456,5.0
115.46222960682314,-8.227952862148353,5.0
115.06229964233314,-8.146772620190667,5.0
114.60326053214806,-8.140103191435488,5.0
115.08349988303834,-8.144015936441312,5.0
114.9259353822038,-8.21541679807226,5.0
115.02537888415581,-8.27364834319212,5.0
115.17171444393888,-8.462152519192198,5.0
115.45405493773767,-8.21150475371556,5.0
115.14961588794957,-8.084164553240267,5.0
115.14853790960862,-8.08656589458811,5.0
114.93213375766422,-8.183763698139709,5.0
115.15410746437016,-8.084164553240267,5.0
115.20656907696274,-8.785086872657269,5.0
115.55448658650221,-8.700116966866503,5.0
115.07846931744729,-8.13218865857891,5.0
115.1528498229724,-8.08318622488881,5.0
115.01082617655308,-8.25933573581925,5.0
115.15985668218852,-8.103463817988024,5.0
114.95468147129561,-8.190876973725201,5.0
115.48217220613061,-8.239332775475335,5.0
114.97399524990419,-8.210615647349043,5.0
115.10514928138565,-8.813317086188919,5.0
115.16578556306371,-8.694256260339687,5.0
115.24187286762863,-8.11280183976069,5.0
115.5729918813551,-8.684488212438334,5.0
115.34922154408092,-8.563698692923458,5.0
115.15635325258046,-8.13218865857891,5.0
115.12060030427249,-8.097683029232963,5.0
115.1500650455916,-8.082296833419623,5.0
115.17584669424585,-8.745933869226143,5.0
114.76819121831241,-8.178695411795514,5.0
114.54388189186776,-8.319427411611473,5.0
115.16973815031382,-8.090745973191387,15.555555555555555
115.369523469502,-8.139658558902498,5.0
115.11637822243712,-8.646834450354527,5.0
115.54595259130309,-8.7390972079026,5.0
115.04451299970756,-8.189809990488191,5.0
115.34652659822855,-8.584217866847233,5.0
115.16147364969993,-8.085409694983149,5.0
