name,lon,lat,coords
java_1,106.5100252225483,-6.149368515624398,"[106.5100252225483, -6.149368515624398]"
java_2,107.03102180094808,-6.161674096496641,"[107.03102180094808, -6.161674096496641]"
java_3,106.13162861072682,-6.3128698732430895,"[106.13162861072682, -6.3128698732430895]"
java_4,106.11117963074793,-6.333952228708035,"[106.11117963074793, -6.333952228708035]"
java_13,106.77794305315643,-6.3705975246878745,"[106.77794305315643, -6.3705975246878745]"
java_14,106.80047312401811,-6.650549489531389,"[106.80047312401811, -6.650549489531389]"
java_15,106.787896096509,-6.421810456847353,"[106.787896096509, -6.421810456847353]"
java_16,106.64294359241094,-6.565767656610129,"[106.64294359241094, -6.565767656610129]"
java_18,106.99772434682319,-6.355577477446754,"[106.99772434682319, -6.355577477446754]"
java_19,106.96632701915651,-6.3817268368002695,"[106.96632701915651, -6.3817268368002695]"
java_21,107.00279135071176,-6.352953493290173,"[107.00279135071176, -6.352953493290173]"
java_22,106.93438679821604,-6.446240654167245,"[106.93438679821604, -6.446240654167245]"
java_24,107.00016736655516,-6.356753746206603,"[107.00016736655516, -6.356753746206603]"
java_27,107.05237560304992,-6.3294281180932375,"[107.05237560304992, -6.3294281180932375]"
java_28,107.00134363531502,-6.354853619748387,"[107.00134363531502, -6.354853619748387]"
java_34,107.02025441768488,-6.349515169222928,"[107.02025441768488, -6.349515169222928]"
java_38,107.00432954832078,-6.344629129758951,"[107.00432954832078, -6.344629129758951]"
java_39,107.74049282756022,-6.590288336142319,"[107.74049282756022, -6.590288336142319]"
java_44,108.30057772167184,-6.340014536931862,"[108.30057772167184, -6.340014536931862]"
java_45,108.29876807742592,-6.340466947993339,"[108.29876807742592, -6.340466947993339]"
java_48,110.74486420463327,-6.5214313725851385,"[110.74486420463327, -6.5214313725851385]"
java_51,110.99115678650273,-6.6015986126793065,"[110.99115678650273, -6.6015986126793065]"
java_57,107.2515269523132,-6.857301344627517,"[107.2515269523132, -6.857301344627517]"
java_58,107.13028078783668,-6.8560345936553775,"[107.13028078783668, -6.8560345936553775]"
java_99,107.5447798023642,-7.052742923186663,"[107.5447798023642, -7.052742923186663]"
java_123,108.18684158081592,-6.7870871478859005,"[108.18684158081592, -6.7870871478859005]"
java_126,108.49936714208592,-6.916295747044447,"[108.49936714208592, -6.916295747044447]"
java_127,108.41159939615892,-6.741393630676472,"[108.41159939615892, -6.741393630676472]"
