,lon,lat,geometry,soil great group,landform value,landform description,elevation (m),fine earth density (kg / m^3),sand content in soil (%),clay content in soil (%),drainage direction,upstream drainage area (km^2),hydrologically adjusted elevations,distance to waterway(m),slope
0,114.39385922520066,4.62498887795483,POINT (114.3938592252007 4.62498887795483),0.0,34,Lower slope (flat),5,98.0,39.0,33.0,northeast,0.008520573377609253,1.1000001430511475,314.1444640658134,1.576232051454846
1,114.17526079478688,4.585540845073594,POINT (114.1752607947869 4.585540845073595),0.0,31,Lower slope (warm),5,84.0,35.0,35.0,south,0.008521038107573986,1.8999998569488525,229.2422332009705,0.9778807138034841
2,114.54371648477048,4.70737223572274,POINT (114.5437164847705 4.70737223572274),0.0,31,Lower slope (warm),12,114.0,50.0,26.0,north,4.4217376708984375,0.0,0.0,1.7513098441237511
3,114.20579333128715,4.56596754988729,POINT (114.2057933312872 4.56596754988729),0.0,41,Valley,13,82.0,40.0,32.0,northeast,0.008521277457475662,2.999999761581421,217.67604746485787,3.776414120518296
4,106.07189136987252,11.090251926310234,POINT (106.0718913698725 11.09025192631023),0.0,34,Lower slope (flat),4,149.0,52.0,26.0,northeast,0.5790053606033325,0.0,0.0,0.44139459577728596
5,104.68342117608213,11.21044090149858,POINT (104.6834211760821 11.21044090149858),1.0,24,Upper slope (flat),32,148.0,54.0,24.0,east,0.00838793721050024,11.30000114440918,581.3464133998878,1.3877708563371884
6,105.05741819703249,10.643971481652756,POINT (105.0574181970325 10.64397148165276),5.0,31,Lower slope (warm),1,62.0,25.0,41.0,south,0.008403659798204899,0.40000009536743164,130.00000000000648,1.2581019721660147
7,104.71931366886831,11.523299880492717,POINT (104.7193136688683 11.52329988049271),1.0,34,Lower slope (flat),18,137.0,40.0,31.0,northeast,0.29326263070106506,0.10000038146972656,29.39530916064046,0.9464830456090838
8,103.97854802283405,12.53600162051234,POINT (103.978548022834 12.53600162051234),0.0,24,Upper slope (flat),19,145.0,46.0,28.0,north,0.11687297374010086,0.39999961853027344,273.5927403452655,0.442586067290518
9,104.42485272431112,10.538533446841306,POINT (104.4248527243111 10.53853344684131),1.0,21,Upper slope (warm),26,141.0,50.0,26.0,northeast,0.00840650126338005,20.099998474121094,488.51285330649847,1.8807725766588341
10,103.19055374495865,13.136737901166635,POINT (103.1905537449587 13.13673790116664),0.0,34,Lower slope (flat),12,143.0,37.0,33.0,east,0.033313922584056854,0.3000001907348633,240.0000000001072,0.3174689401265156
11,104.94010031820291,11.438536848053188,POINT (104.9401003182029 11.43853684805319),0.0,34,Lower slope (flat),11,135.0,29.0,38.0,west,0.008381392806768417,1.0,296.8492669257427,0.7025057453982954
12,102.5284043073486,13.668211321991539,POINT (102.5284043073486 13.66821132199154),0.0,21,Upper slope (warm),43,143.0,47.0,26.0,southeast,0.3241037130355835,0.1999969482421875,29.99999999994702,1.2364626041759954
13,104.71550431136072,11.808565128092694,POINT (104.7155043113607 11.80856512809269),0.0,34,Lower slope (flat),17,137.0,43.0,28.0,north,0.008370466530323029,3.6000003814697266,23.993286858706888,1.3004471001167923
14,104.03408290180849,13.305500488439224,POINT (104.0340829018085 13.30550048843922),2.0,24,Upper slope (flat),19,132.0,51.0,26.0,northeast,0.008322818204760551,0.8999996185302734,614.4243418767755,0.6353567526537747
15,106.09547569420576,12.473662285246489,POINT (106.0954756942058 12.47366228524649),1.0,24,Upper slope (flat),30,132.0,49.0,27.0,southwest,0.016699984669685364,12.299999237060547,283.1546330286516,1.8342376555316615
16,103.51715314147984,13.823702001358695,POINT (103.5171531414798 13.8237020013587),1.0,24,Upper slope (flat),23,124.0,52.0,21.0,southwest,0.016610119491815567,1.2000007629394531,149.38816881936327,0.44378335058211255
17,104.68606910675884,11.9680454587571,POINT (104.6860691067588 11.9680454587571),0.0,34,Lower slope (flat),23,140.0,45.0,28.0,east,0.2760690450668335,0.2999992370605469,155.25124923630574,0
18,102.62098530054566,13.27515773012901,POINT (102.6209853005457 13.27515773012901),0.0,34,Lower slope (flat),62,138.0,50.0,23.0,west,0.0499429926276207,1.0999984741210938,68.12949380245257,1.3900243201104872
19,105.47869128057016,10.861016231807804,POINT (105.4786912805702 10.8610162318078),3.0,24,Upper slope (flat),7,99.0,28.0,40.0,north,0.05038659647107124,1.200000286102295,350.1599170285652,0.31479973935464256
20,104.68932165937792,10.973150260323226,POINT (104.6893216593779 10.97315026032323),0.0,24,Upper slope (flat),25,138.0,49.0,27.0,southeast,0.008394625037908554,12.300000190734863,854.0933609121503,1.6911687605206973
21,104.88657807448776,11.485240652782096,POINT (104.8865780744878 11.48524065278209),0.0,34,Lower slope (flat),11,117.0,39.0,33.0,southwest,0.008380039595067501,0.40000057220458984,270.0000000001427,1.2760502534283469
22,104.46821829062756,11.495884653757185,POINT (104.4682182906276 11.49588465375718),0.0,24,Upper slope (flat),54,143.0,49.0,26.0,southwest,0.008379717357456684,5.599998474121094,502.61428898369735,0.3091606457115311
23,104.7540521359904,11.810449252770582,POINT (104.7540521359904 11.81044925277058),0.0,24,Upper slope (flat),18,142.0,42.0,29.0,east,0.016740832477808,1.1999998092651367,199.99999999994182,0.44196800471840225
24,106.52785860219365,11.698687232757198,POINT (106.5278586021936 11.6986872327572),1.0,31,Lower slope (warm),56,132.0,52.0,25.0,north,0.008373753167688847,0.7999992370605469,145.54882205278255,0.6942347495299975
25,105.08637238255702,10.776683334373176,POINT (105.086372382557 10.77668333437318),2.0,24,Upper slope (flat),3,127.0,26.0,40.0,southwest,0.05880020931363106,0.8999999761581421,58.035963907216946,0.44115724177281634
