,geometry,id,Soil Clay Fraction,Elevation,Drainage Direction,Upstream Drainage Area (km^2),Height Above Nearest Drainage (m),Landform Type,Soil Sand Fraction,Slope (degrees),Fine Earth Density (kg / m^3),Soil Great Group,Distance to Waterway (m),Nearest Water Type,place_name,Population - 1 km,Population - 5 km,Population - 10 km
20,POINT (20.10470215544633 41.12362754668478),8f1ed4390894723,0.25,134,southeast,0.09053459018468857,3.0,Lower slope (warm),0.4,1.541127897298073,153,3,483.8818240085881,yes,"Mengël, Elbasan, Elbasan municipality, Elbasan County, Central Albania, 3001, Albania",7002,74955,96227
21,POINT (19.8146367539763 41.35138663726331),8f1ed40262f5550,0.26,97,west,115.80451202392578,0.0,Valley,0.35,1.5445565350735582,151,2,8.117160105572834,river,"Rruga Mustafa Caslli, Njësia Bashkiake Nr. 8, Tiranë, Tirana Municipality, Tirana County, Central Albania, 1001-1028, Albania",23662,544443,759070
22,POINT (19.58148392422231 41.36895746774106),8f1ed4c592d3a31,0.24,18,northeast,0.012886113487184048,1.7999992370605469,Lower slope (flat),0.32,0.5150516402854844,156,0,768.4208777385775,stream,"Autostrada ""Tiranë - Durrës"", Zona indistruale Marikaj, Marikaj, Vorë, Bashkia Vorë, Tirana County, Central Albania, 1032, Albania",936,29970,118308
23,POINT (19.68239978091551 41.5287888149512),8f1ed488a584341,0.26,9,northwest,0.01285474468022585,3.6000003814697266,Lower slope (flat),0.33,0.412969193351674,151,1,1451.8437575172604,ditch,"SH1, Thumanë, Kruje, Durrës County, Northern Albania, 1503, Albania",492,15211,52450
24,POINT (19.55016178987934 42.01082453666699),8f1ef2285b9bc4d,0.24,12,north,0.006379775237292051,6.399999618530273,Lower slope (flat),0.34,1.6638874650462114,140,1,147.46856393823046,river,"Ashta 2 hydro power plant, Rruga Gjon Buzuku, Govaç (Kosmaç), Kozmaç, Bushat, Bashkia Vau-Dejës, Shkodër County, Northern Albania, 4016, Albania",579,14653,110105
25,POINT (19.80581056046402 41.35138436466995),8f1ed4026775095,0.26,93,southwest,0.006444753147661686,2.1999969482421875,Valley,0.37,0.5149630642626719,153,0,50.59524121707587,river,"Unaza, Babrru, Prengaj (Babrruja), Paskuqan, Kamez, Bashkia Kamëz, Tirana County, Central Albania, 1007, Albania",22099,554446,766061
26,POINT (19.81781909886942 40.50121678452147),8f1ed0da222cc08,0.28,279,west,3.6162197589874268,0.0,Lower slope (warm),0.33,3.5965828018680193,150,2,1682.475039700012,reservoir,"SH4, Fratar-Cingrimaj, Frater, Fratar, Bashkia Mallakastër, Fier County, Southern Albania, 9328, Albania",148,2063,6217
27,POINT (19.60525690639962 40.66863569160545),8f1ed6a2da6108d,0.3,141,northwest,0.019533641636371613,55.5,Upper slope,0.29,10.481385158287091,155,1,1706.6294231279512,river,"Patos, Bashkia Patos, Fier County, Southern Albania, 9307, Albania",215,12660,84678
28,POINT (19.50634014944283 41.29806510879069),8f1ed4ccd1528d5,0.24,-1,southwest,0.006449970416724682,7.200000286102295,Lower slope (warm),0.36,1.0145766957871247,142,4,78.2655201451848,canal,"Rashbull, Durrës, Bashkia Durrës, Durrës County, Northern Albania, 2021, Albania",7139,74784,167274
29,POINT (19.50071932298451 40.60496997586463),8f1ed6a00c304a4,0.25,6,northwest,0.006517241708934307,2.3000001907348633,Lower slope (flat),0.31,1.480414529638725,150,0,682.6970890796749,river,"Çadaj (Mifol), Novoselë, Bashkia Vlorë, Vlorë County, Southern Albania, 9411, Albania",295,6617,20935
